cve_item,Concepto,publicacion,cve_periodo,Textbox3,Monto,Flujo_Mes
,    Ingresos por intereses,ABC Capital,201806,Año en Curso,405.16,68.42
,    Ingresos por intereses,ABC Capital,201805,Año en Curso,336.74,71.24
,    Ingresos por intereses,ABC Capital,201804,Año en Curso,265.50,66.90
,    Ingresos por intereses,Accendo Banco,201806,Año en Curso,155.81,33.68
,    Ingresos por intereses,Accendo Banco,201805,Año en Curso,122.13,27.09
,    Ingresos por intereses,Accendo Banco,201804,Año en Curso,95.04,24.94
,    Ingresos por intereses,Actinver,201806,Año en Curso,"1,218.13",206.42
,    Ingresos por intereses,Actinver,201805,Año en Curso,"1,011.71",210.38
,    Ingresos por intereses,Actinver,201804,Año en Curso,801.33,203.13
,    Ingresos por intereses,Afirme,201806,Año en Curso,"6,162.27","1,032.99"
,    Ingresos por intereses,Afirme,201805,Año en Curso,"5,129.28","1,040.06"
,    Ingresos por intereses,Afirme,201804,Año en Curso,"4,089.23","1,068.11"
,    Ingresos por intereses,American Express,201806,Año en Curso,"1,673.78",296.63
,    Ingresos por intereses,American Express,201805,Año en Curso,"1,377.14",279.36
,    Ingresos por intereses,American Express,201804,Año en Curso,"1,097.78",298.55
,    Ingresos por intereses,Autofin,201806,Año en Curso,274.16,47.85
,    Ingresos por intereses,Autofin,201805,Año en Curso,226.31,49.46
,    Ingresos por intereses,Autofin,201804,Año en Curso,176.84,46.97
,    Ingresos por intereses,Banamex,201806,Año en Curso,"48,629.35","8,293.49"
,    Ingresos por intereses,Banamex,201805,Año en Curso,"40,335.86","9,039.01"
,    Ingresos por intereses,Banamex,201804,Año en Curso,"31,296.85","8,156.06"
,    Ingresos por intereses,Banamex Consolidado,201806,Año en Curso,"57,311.25","9,748.96"
,    Ingresos por intereses,Banamex Consolidado,201805,Año en Curso,"47,562.29","10,515.66"
,    Ingresos por intereses,Banamex Consolidado,201804,Año en Curso,"37,046.63","9,611.40"
,    Ingresos por intereses,Banca de Inversión y Otros Servicios,201806,Año en Curso,"16,221.73","2,609.03"
,    Ingresos por intereses,Banca de Inversión y Otros Servicios,201805,Año en Curso,"13,612.71","2,670.91"
,    Ingresos por intereses,Banca de Inversión y Otros Servicios,201804,Año en Curso,"10,941.79","2,777.79"
,    Ingresos por intereses,Banca de Inversión y Otros Servicios Consolidado,201806,Año en Curso,"16,221.73","2,609.03"
,    Ingresos por intereses,Banca de Inversión y Otros Servicios Consolidado,201805,Año en Curso,"13,612.71","2,670.91"
,    Ingresos por intereses,Banca de Inversión y Otros Servicios Consolidado,201804,Año en Curso,"10,941.79","2,777.79"
,    Ingresos por intereses,Banca Mifel,201806,Año en Curso,"3,102.43",532.44
,    Ingresos por intereses,Banca Mifel,201805,Año en Curso,"2,569.99",550.28
,    Ingresos por intereses,Banca Mifel,201804,Año en Curso,"2,019.71",542.73
,    Ingresos por intereses,Banco Ahorro Famsa,201806,Año en Curso,"1,587.99",277.40
,    Ingresos por intereses,Banco Ahorro Famsa,201805,Año en Curso,"1,310.60",277.09
,    Ingresos por intereses,Banco Ahorro Famsa,201804,Año en Curso,"1,033.51",263.84
,    Ingresos por intereses,Banco Azteca,201806,Año en Curso,"22,198.41","3,823.77"
,    Ingresos por intereses,Banco Azteca,201805,Año en Curso,"18,374.64","3,862.98"
,    Ingresos por intereses,Banco Azteca,201804,Año en Curso,"14,511.66","3,673.36"
,    Ingresos por intereses,Banco Base,201806,Año en Curso,"1,142.05",201.34
,    Ingresos por intereses,Banco Base,201805,Año en Curso,940.71,203.25
,    Ingresos por intereses,Banco Base,201804,Año en Curso,737.46,193.71
,    Ingresos por intereses,Banco Bicentenario,201806,Año en Curso,,
,    Ingresos por intereses,Banco Bicentenario,201805,Año en Curso,,
,    Ingresos por intereses,Banco Bicentenario,201804,Año en Curso,,
,    Ingresos por intereses,Banco del Bajío,201806,Año en Curso,"8,784.99","1,532.02"
,    Ingresos por intereses,Banco del Bajío,201805,Año en Curso,"7,252.98","1,540.66"
,    Ingresos por intereses,Banco del Bajío,201804,Año en Curso,"5,712.31","1,448.89"
,    Ingresos por intereses,Banco Deuno,201806,Año en Curso,,
,    Ingresos por intereses,Banco Deuno,201805,Año en Curso,,
,    Ingresos por intereses,Banco Deuno,201804,Año en Curso,,
,    Ingresos por intereses,Banco Wal-Mart,201806,Año en Curso,,
,    Ingresos por intereses,Banco Wal-Mart,201805,Año en Curso,,
,    Ingresos por intereses,Banco Wal-Mart,201804,Año en Curso,,
,    Ingresos por intereses,BanCoppel,201806,Año en Curso,"5,455.25",927.89
,    Ingresos por intereses,BanCoppel,201805,Año en Curso,"4,527.36",979.99
,    Ingresos por intereses,BanCoppel,201804,Año en Curso,"3,547.37",882.59
,    Ingresos por intereses,Bancos Cambiarios,201806,Año en Curso,"5,357.96",907.10
,    Ingresos por intereses,Bancos Cambiarios,201805,Año en Curso,"4,450.85",969.33
,    Ingresos por intereses,Bancos Cambiarios,201804,Año en Curso,"3,481.52",921.12
,    Ingresos por intereses,Bancos Cambiarios Consolidado,201806,Año en Curso,"5,382.78",920.19
,    Ingresos por intereses,Bancos Cambiarios Consolidado,201805,Año en Curso,"4,462.59",971.73
,    Ingresos por intereses,Bancos Cambiarios Consolidado,201804,Año en Curso,"3,490.86",923.37
,    Ingresos por intereses,Bancrea,201806,Año en Curso,662.09,117.71
,    Ingresos por intereses,Bancrea,201805,Año en Curso,544.38,117.81
,    Ingresos por intereses,Bancrea,201804,Año en Curso,426.57,109.31
,    Ingresos por intereses,Bank of America,201806,Año en Curso,"3,787.27",573.73
,    Ingresos por intereses,Bank of America,201805,Año en Curso,"3,213.54",518.88
,    Ingresos por intereses,Bank of America,201804,Año en Curso,"2,694.66",715.86
,    Ingresos por intereses,Bankaool,201806,Año en Curso,37.13,5.50
,    Ingresos por intereses,Bankaool,201805,Año en Curso,31.63,10.89
,    Ingresos por intereses,Bankaool,201804,Año en Curso,20.74,7.28
,    Ingresos por intereses,Banorte,201806,Año en Curso,"53,283.71","9,055.50"
,    Ingresos por intereses,Banorte,201805,Año en Curso,"44,228.21","9,073.56"
,    Ingresos por intereses,Banorte,201804,Año en Curso,"35,154.65","8,820.00"
,    Ingresos por intereses,Banregio,201806,Año en Curso,"6,384.72","1,138.33"
,    Ingresos por intereses,Banregio,201805,Año en Curso,"5,246.39","1,096.61"
,    Ingresos por intereses,Banregio,201804,Año en Curso,"4,149.78","1,052.75"
,    Ingresos por intereses,Bansí,201806,Año en Curso,"1,235.29",204.95
,    Ingresos por intereses,Bansí,201805,Año en Curso,"1,030.34",211.01
,    Ingresos por intereses,Bansí,201804,Año en Curso,819.33,206.12
,    Ingresos por intereses,Barclays,201806,Año en Curso,378.38,44.24
,    Ingresos por intereses,Barclays,201805,Año en Curso,334.13,74.85
,    Ingresos por intereses,Barclays,201804,Año en Curso,259.28,60.81
,    Ingresos por intereses,BBVA Bancomer,201806,Año en Curso,"91,144.83","15,901.19"
,    Ingresos por intereses,BBVA Bancomer,201805,Año en Curso,"75,243.64","15,660.87"
,    Ingresos por intereses,BBVA Bancomer,201804,Año en Curso,"59,582.77","15,043.49"
,    Ingresos por intereses,BTMU Mexico,201806,Año en Curso,899.29,160.12
,    Ingresos por intereses,BTMU Mexico,201805,Año en Curso,739.16,166.60
,    Ingresos por intereses,BTMU Mexico,201804,Año en Curso,572.57,149.40
,    Ingresos por intereses,CI Banco Consolidado,201806,Año en Curso,"1,350.64",244.90
,    Ingresos por intereses,CI Banco Consolidado,201805,Año en Curso,"1,105.74",241.28
,    Ingresos por intereses,CI Banco Consolidado,201804,Año en Curso,864.45,244.68
,    Ingresos por intereses,CIBanco,201806,Año en Curso,"1,325.81",231.81
,    Ingresos por intereses,CIBanco,201805,Año en Curso,"1,094.00",238.88
,    Ingresos por intereses,CIBanco,201804,Año en Curso,855.12,242.44
,    Ingresos por intereses,Compartamos,201806,Año en Curso,"8,144.12","1,364.36"
,    Ingresos por intereses,Compartamos,201805,Año en Curso,"6,779.76","1,377.42"
,    Ingresos por intereses,Compartamos,201804,Año en Curso,"5,402.34","1,335.95"
,    Ingresos por intereses,Consubanco,201806,Año en Curso,"1,314.29",223.66
,    Ingresos por intereses,Consubanco,201805,Año en Curso,"1,090.63",222.44
,    Ingresos por intereses,Consubanco,201804,Año en Curso,868.19,219.72
,    Ingresos por intereses,Credit Suisse,201806,Año en Curso,469.38,87.34
,    Ingresos por intereses,Credit Suisse,201805,Año en Curso,382.05,67.86
,    Ingresos por intereses,Credit Suisse,201804,Año en Curso,314.19,73.51
,    Ingresos por intereses,Deutsche Bank,201806,Año en Curso,86.05,15.46
,    Ingresos por intereses,Deutsche Bank,201805,Año en Curso,70.59,12.43
,    Ingresos por intereses,Deutsche Bank,201804,Año en Curso,58.16,12.72
,    Ingresos por intereses,Dondé Banco,201806,Año en Curso,55.81,9.91
,    Ingresos por intereses,Dondé Banco,201805,Año en Curso,45.90,9.54
,    Ingresos por intereses,Dondé Banco,201804,Año en Curso,36.36,9.00
,    Ingresos por intereses,Finterra,201806,Año en Curso,258.80,43.83
,    Ingresos por intereses,Finterra,201805,Año en Curso,214.97,44.89
,    Ingresos por intereses,Finterra,201804,Año en Curso,170.08,42.34
,    Ingresos por intereses,Forjadores,201806,Año en Curso,256.84,42.06
,    Ingresos por intereses,Forjadores,201805,Año en Curso,214.78,44.59
,    Ingresos por intereses,Forjadores,201804,Año en Curso,170.19,43.30
,    Ingresos por intereses,GE Money,201806,Año en Curso,,
,    Ingresos por intereses,GE Money,201805,Año en Curso,,
,    Ingresos por intereses,GE Money,201804,Año en Curso,,
,    Ingresos por intereses,HSBC,201806,Año en Curso,"26,084.99","4,429.21"
,    Ingresos por intereses,HSBC,201805,Año en Curso,"21,655.78","4,499.97"
,    Ingresos por intereses,HSBC,201804,Año en Curso,"17,155.80","4,326.66"
,    Ingresos por intereses,ICBC,201806,Año en Curso,178.49,38.69
,    Ingresos por intereses,ICBC,201805,Año en Curso,139.81,30.82
,    Ingresos por intereses,ICBC,201804,Año en Curso,108.99,27.53
,    Ingresos por intereses,Inbursa,201806,Año en Curso,"13,491.50","2,246.22"
,    Ingresos por intereses,Inbursa,201805,Año en Curso,"11,245.28","2,259.91"
,    Ingresos por intereses,Inbursa,201804,Año en Curso,"8,985.37","2,309.87"
,    Ingresos por intereses,Inbursa Consolidado,201806,Año en Curso,"19,661.23","3,239.78"
,    Ingresos por intereses,Inbursa Consolidado,201805,Año en Curso,"16,421.45","3,267.96"
,    Ingresos por intereses,Inbursa Consolidado,201804,Año en Curso,"13,153.49","3,300.57"
