cve_item,Concepto,publicacion,cve_periodo,Textbox3,Monto,Flujo_Mes,publicacion2,cve_periodo2,Textbox4,cve_item2,Concepto1,item_Importe2,Flujo_Mes1
,    Ingresos por intereses,ABC Capital,201806,Año en Curso,405.16,68.42,ABC Capital,201806,Año en Curso,,    Ingresos por intereses,405.16,68.42
,    Ingresos por intereses,ABC Capital,201805,Año en Curso,336.74,71.24,ABC Capital,201805,Año en Curso,,    Ingresos por intereses,336.74,71.24
,    Ingresos por intereses,ABC Capital,201804,Año en Curso,265.5,66.9,ABC Capital,201804,Año en Curso,,    Ingresos por intereses,265.5,66.9
,    Ingresos por intereses,Accendo Banco,201806,Año en Curso,155.81,33.68,ABC Capital,201806,Año en Curso,,        Intereses de disponibilidades,4.41,0.81
,    Ingresos por intereses,Accendo Banco,201805,Año en Curso,122.13,27.09,ABC Capital,201805,Año en Curso,,        Intereses de disponibilidades,3.6,0.75
,    Ingresos por intereses,Accendo Banco,201804,Año en Curso,95.04,24.94,ABC Capital,201804,Año en Curso,,        Intereses de disponibilidades,2.84,0.71
,    Ingresos por intereses,Actinver,201806,Año en Curso,"1,218.13",206.42,ABC Capital,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Actinver,201805,Año en Curso,"1,011.71",210.38,ABC Capital,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Actinver,201804,Año en Curso,801.33,203.13,ABC Capital,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de cuentas de margen,0,0
,    Ingresos por intereses,Afirme,201806,Año en Curso,"6,162.27","1,032.99",ABC Capital,201806,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,0,0
,    Ingresos por intereses,Afirme,201805,Año en Curso,"5,129.28","1,040.06",ABC Capital,201805,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,0,0
,    Ingresos por intereses,Afirme,201804,Año en Curso,"4,089.23","1,068.11",ABC Capital,201804,Año en Curso,,        Intereses y rendimientos a favor provenientes de inversiones en valores,0,0
,    Ingresos por intereses,American Express,201806,Año en Curso,"1,673.78",296.63,ABC Capital,201806,Año en Curso,,            Por Títulos para Negociar,0,0
,    Ingresos por intereses,American Express,201805,Año en Curso,"1,377.14",279.36,ABC Capital,201805,Año en Curso,,            Por Títulos para Negociar,0,0
,    Ingresos por intereses,American Express,201804,Año en Curso,"1,097.78",298.55,ABC Capital,201804,Año en Curso,,            Por Títulos para Negociar,0,0
,    Ingresos por intereses,Autofin,201806,Año en Curso,274.16,47.85,ABC Capital,201806,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,Autofin,201805,Año en Curso,226.31,49.46,ABC Capital,201805,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,Autofin,201804,Año en Curso,176.84,46.97,ABC Capital,201804,Año en Curso,,            Por Títulos Disponibles para la Venta,0,0
,    Ingresos por intereses,Banamex,201806,Año en Curso,"48,629.35","8,293.49",ABC Capital,201806,Año en Curso,,            Por Títulos Conservados a Vencimiento,0,0
