Mes,Total
Dic-2005,746.1544122
Ene-2006,680.0870473
Feb-2006,698.5810491
Mar-2006,717.841977
Abr-2006,689.6155767
May-2006,727.837723
Jun-2006,724.4778179
Jul-2006,701.1751379
Ago-2006,731.4667172
Sep-2006,720.4022124
Oct-2006,708.5441686
Nov-2006,738.9645405
Dic-2006,776.7531468
Ene-2007,724.6583023
Feb-2007,735.8646052
Mar-2007,763.9842883
Abr-2007,726.9242684
May-2007,771.4237504
Jun-2007,773.1376394
Jul-2007,745.8656738
Ago-2007,768.611166
Sep-2007,732.1635454
Oct-2007,778.6878113
Nov-2007,777.8059387
Dic-2007,819.9222846
Ene-2008,764.5859817
Feb-2008,783.684922
Mar-2008,773.3330839
Abr-2008,795.5408414
May-2008,811.7174308
Jun-2008,787.1089969
Jul-2008,809.1835996
Ago-2008,780.8293925
Sep-2008,787.5022585
Oct-2008,791.7370744
Nov-2008,766.3931423
Dic-2008,849.9276095
Ene-2009,772.1729119
Feb-2009,783.7821784
Mar-2009,776.9939629
Abr-2009,788.3714113
May-2009,751.0514804
Jun-2009,814.6614804
Jul-2009,808.5733425
Ago-2009,778.805923
Sep-2009,781.9650124
Oct-2009,798.264147
Nov-2009,777.3699823
Dic-2009,868.9559327
Ene-2010,754.4922043
Feb-2010,794.6626849
Mar-2010,831.1104865
Abr-2010,794.4985911
May-2010,799.7744289
Jun-2010,821.2664528
Jul-2010,798.1993127
Ago-2010,790.1089367
Sep-2010,784.1917835
Oct-2010,781.9274342
Nov-2010,807.2527972
Dic-2010,860.1496464
Ene-2011,754.9443005
Feb-2011,792.9218765
Mar-2011,814.1557876
Abr-2011,811.3224242
May-2011,793.8657731
Jun-2011,813.1814064
Jul-2011,769.123567
Ago-2011,809.2222403
Sep-2011,792.6825302
Oct-2011,778.5724444
Nov-2011,807.930202
Dic-2011,850.7978676
Ene-2012,775.2535509
Feb-2012,793.9742927
Mar-2012,818.227623
Abr-2012,784.2310119
May-2012,825.9697385
Jun-2012,824.3026468
Jul-2012,787.8560891
Ago-2012,802.9936032
Sep-2012,773.763951
Oct-2012,812.6824669
Nov-2012,803.0299476
Dic-2012,832.4343664
Ene-2013,770.8379577
Feb-2013,788.0812101
Mar-2013,777.2032627
Abr-2013,793.1817464
May-2013,805.4218019
Jun-2013,774.2253885
Jul-2013,798.9135706
Ago-2013,793.3032193
Sep-2013,740.7856003
Oct-2013,791.3426682
Nov-2013,785.8309529
Dic-2013,820.9474028
Ene-2014,760.7769445
Feb-2014,774.4970686
Mar-2014,764.1278696
Abr-2014,788.3256699
May-2014,789.4570273
Jun-2014,756.7137558
Jul-2014,780.3756156
Ago-2014,758.8341745
Sep-2014,767.5473502
Oct-2014,778.2778993
Nov-2014,755.8187294
Dic-2014,838.9659077
Ene-2015,757.2618308
Feb-2015,776.03495
Mar-2015,772.0310954
Abr-2015,789.6618884
May-2015,782.6159596
Jun-2015,781.2320127
Jul-2015,835.3276261
Ago-2015,783.5515295
Sep-2015,799.3128045
Oct-2015,799.5281185
Nov-2015,787.5286434
Dic-2015,847.7740313
Ene-2016,771.0134298
Feb-2016,810.1687661
Mar-2016,827.2496023
Abr-2016,811.4512284
May-2016,815.0770413
Jun-2016,837.9266798
Jul-2016,825.3446922
Ago-2016,826.5834777
Sep-2016,820.6597124
Oct-2016,811.6164958
Nov-2016,828.5173591
Dic-2016,884.9669182
Ene-2017,749.5558436
Feb-2017,769.8500916
Mar-2017,795.6404806
Abr-2017,769.8043088
May-2017,809.5624941
Jun-2017,816.0369585
Jul-2017,788.827231
Ago-2017,819.564535
Sep-2017,794.7067025
Oct-2017,780.9533588
Nov-2017,813.3480625
Dic-2017,854.7123608
Ene-2018,764.5123491
Feb-2018,776.6802214
Mar-2018,804.4727531
Abr-2018,758.5105043
May-2018,800.6168601
Jun-2018,792.9658117
Jul-2018,750.9942732
Ago-2018,765.97292
Sep-2018,729.0945339
Oct-2018,738.9824165
Nov-2018,736.9571777
Dic-2018,745.0302311
Ene-2019,706.8439882
Feb-2019,730.2337023
Mar-2019,722.9406306
Abr-2019,745.1655132
May-2019,741.0854345
Jun-2019,723.8373351
Jul-2019,734.7317086
Ago-2019,721.391358
Sep-2019,688.0792434
